Standard Atomic Weights 2007 (IUPAC);;;;
;;;;
Element Name;Symbol;Atomic Number;Atomic Weight;Footnotes
actinium;Ac;89;;
aluminium (aluminum);Al;13;26.9815386(8);
americium;Am;95;;
antimony;Sb;51;121.760(1);g
argon;Ar;18;39.948(1);"g ; r"
arsenic;As;33;79.92160(2);
astatine;At;85;;
barium;Ba;56;137.327(7);
berkelium;Bk;97;;
beryllium;Be;4;9.012182(3);
bismuth;Bi;83;208.98040(1);
bohrium;Bh;107;;
boron;B;5;10.811(7);"g ; m ; r"
bromine;Br;35;79.904(1);
cadmium;Cd;48;112.411(8);g
caesium (cesium);Cs;55;132.9054519(2);
calcium;Ca;20;40.078(4);g
californium;Cf;98;;
carbon;C;6;12.0107(8);"g ; r"
cerium;Ce;58;140.116(1);g
chlorine;Cl;17;35.453(2);"g ; m ;  r"
chromium;Cr;24;51.9961(6);
cobalt;Co;27;58.933195(5);
copper;Cu;29;63.546(3);r
curium;Cm;96;;
darmstadtium;Ds;110;;
dubnium;Db;105;;
dysprosium;Dy;66;162.500(1);g
eistenium;Es;99;;
erbium;Er;68;167.259(3);g
europium;Eu;63;151.964(1);g
fermium;Fm;100;;
fluorine;F;9;18.9984032(5);
francium;Fr;87;;
gadolinium;Gd;64;157.25(3);g
gallium;Ga;31;69.723(1);
germanium;Ge;32;72.64(1);
gold;Au;79;196.966569(4);
hafnium;Hf;72;178.49(2);
hassium;Hs;108;;
helium;He;2;4.0026002(2);"g ; r"
holmium;Ho;67;164.93032(2);
hydrogen;H;1;1.00794(7);"g ; m ; r"
indium;In;49;114.818(3);
iodine;I;53;126.90447(3);
iridium;Ir;77;192.217(3);
iron;Fe;26;55.845(2);
krypton;Kr;36;83.798(2);"g ; m"
lanthanum;La;57;138.90547(7);g
lawrencium;Lr;103;;
lead;Pb;82;207.2(1);"g ; r"
lithium;Li;3;[6.941(2)]?;"g ; m ; r"
lutetium;Lu;71;174.9668(1);g
magnesium;Mg;12;24.3050(6);
manganese;Mn;25;54.938045(5);
meitnerium;Mt;109;;
mendelevium;Md;101;;
mercury;Hg;80;200.59(2);
molybdenum;Mo;42;95.96(2);"g ; r"
neodymium;Nd;60;144.242(3);g
neon;Ne;10;20.1797(6);"g ; m"
neptunium;Np;93;;
nickel;Ni;28;58.6934(4);r
niobium;Nb;41;92.90638(2);
nitrogen;N;7;14.0067(2);"g ; r"
nobelium;No;102;;
osmium;Os;76;190.23(3);g
oxygen;O;8;15.9994(3);"g ; r"
palladium;Pd;46;106.42(1);g
phosphorus;P;15;30.973762(2);
platinum;Pt;78;195.084(9);
plutonium;Pu;94;;
polonium;Po;84;;
potassium;K;19;39.0983(1);
praseodymium;Pr;59;140.90765(2);
promethium;Pm;61;;
protactinium;Pa;91;231.03588(2);
radium;Ra;88;;
radon;Rn;86;;
roentgenium;Rg;111;;
rhenium;Re;75;186.207(1);
rhodium;Rh;45;102.90550(2);
rubidium;Rb;37;85.4678(3);g
ruthenium;Ru;44;101.07(2);g
rutherfordium;Rf;104;;
samarium;Sm;62;150.36(2);g
scandium;Sc;21;44.955912(6);
seaborgium;Sg;106;;
selenium;Se;34;78.96(3);r
silicon;Si;14;28.0855(3);r
silver;Ag;47;107.8682(2);g
sodium;Na;11;22.98976928(2);
stontium;Sr;38;87.62(1);"g ; r"
sulfur;S;16;32.065(5);"g ; r"
tantalum;Ta;73;180.94788(2);
technetium;Tc;43;;
tellurium;Te;52;127.60(3);g
terbium;Tb;65;158.92535(2);
thallium;Tl;81;204.3833(2);
thorium;Th;90;232.03806(2);g
thulium;Tm;69;168.93421(2);
tin;Sn;50;118.710(7);g
titanium;Ti;22;47.867(1);
tungsten;W;74;183.84(1);
ununbium;Uub;112;;
ununhexium;Uuh;116;;
ununoctium;Uuo;118;;
ununpentium;Uup;115;;
ununquandium;Uuq;114;;
ununtrium;Uut;113;;
uranium;U;92;238.02891(3);"g ; m"
vanadium;V;23;50.9415(1);
xenon;Xe;54;131.293(6);"g ; m"
ytterbium;Yb;70;173.054(5);g
yttrium;Y;39;88.90585(2);
